EE Planta / Hl,EE Elaboracion / Hl,EE Bodega / Hl,EE Cocina / Hl,EE Envasado / Hl,EE Frio / Hl,Agua Linea 5/Hl,ET Linea 5/Hl,Aire L5 / Hl,Hl de Mosto,Hl Cerveza Cocina,Hl Producido Bodega,Hl Cerveza Filtrada,Hl Cerveza Envasada,Hl Cerveza L2,Hl Cerveza L3,Hl Cerveza L4,Hl Cerveza L5,Planta (Kw),Elaboracion (Kw),Bodega (Kw),Cocina (Kw),Envasado (Kw),Linea 2 (Kw),Linea 3 (Kw),Linea 4 (Kw),Servicios (Kw),Sala Maq (Kw),Aire (Kw),Calderas (Kw),Efluentes (Kw),Frio (Kw),Pta Agua / Eflu (Kw),Prod Agua (Kw),Resto Serv (Kw),Restos Planta (Kw),KW Gral Planta,Agua Planta (Hl),Agua Elaboracion (Hl),Agua Bodega (Hl),Agua Cocina (Hl),Agua Envasado (Hl),Planta de agua (Hl),Produccion (Hl),Gas Planta (Mj),Vapor Elaboracion (Kg),Vapor Cocina (Kg),Vapor Envasado (Kg),Vapor _Vapor_L5 (KG),Aire Producido (M3),Aire Planta (M3),Vapor_L5 (KG),año,mes_sin,mes_cos,dia_semana_sin,dia_semana_cos
6.324496302565311,0.7892115376611124,0.7085755511466904,0.3254211332312404,1.803515684615064,1.765556280089349,0.9854368932038835,26.10878640776699,11.31072815533981,5224.0,7484.25,9009.625,4603.0,10535.0,35.0,4600.0,5694.0,206.0,56981.34,7110.5,6384.0,1700.0,16249.0,3102.97,7317.0,8403.0,30393.5,19377.0,6468.0,1049.0,675.0,15907.0,1406.0,620.0,3103.5,3228.339999999997,60080.0,26930.9,13309.5,5870.700000000001,7438.8,8423.099999999999,34023.05,21732.6,713525.3469,85370.06,62990.0,151824.85,5378.41,51144.0,45886.93,,2021,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
5.885450725157587,0.7294526481735009,0.61802510170265,0.3039964736996768,1.775714847000656,1.669900164237273,2.46260162601626,43.67089430894309,19.17756097560976,6806.0,9894.65,10244.325,10790.0,10594.0,988.0,3667.0,5816.0,123.0,60292.47,7472.75,6331.25,2069.0,18191.0,4872.6,7008.0,8359.0,31869.5,20438.0,6741.0,1064.0,682.0,17107.0,1553.0,775.0,3081.5,2759.220000000001,63404.0,32705.6,17267.6,8004.900000000001,9262.7,9238.5,40217.34,26506.1,752758.848152,86197.97,62350.0,141720.3,5371.52,51396.0,45922.52,,2021,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
4.854717151098717,0.5873942251483004,0.4669139138851355,0.2817660147558262,1.414790750270726,1.453736978792322,3.363541666666666,53.17322916666667,21.6796875,8539.0,14791.25,13043.625,11821.0,11296.0,782.0,4756.0,5662.0,96.0,63323.11,7661.75,6090.25,2406.0,18454.0,4995.49,7250.0,8349.0,34417.5,23228.0,7176.0,1057.0,750.0,18962.0,1606.0,762.0,3236.5,2789.860000000001,66420.0,36855.5,21213.1,10059.8,11153.3,9816.2,44550.39,31029.3,767020.597036,96704.88,72190.0,150061.52,5104.63,53178.0,47368.67000000001,,2021,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
5.941185973383408,0.904695906171294,0.7566206166823147,0.3112763697070876,1.334108284526311,1.933562838109715,0.0,0.0,0.0,6589.0,10541.25,8387.625,8378.0,6234.0,0.0,1305.0,4929.0,0.0,49832.44,7588.25,6346.25,2051.0,11190.0,803.94,3038.0,8152.0,29737.5,17935.0,5654.0,758.0,638.0,16218.0,1434.0,714.0,2941.5,1316.690000000002,52347.0,28194.8,16609.9,7791.500000000001,8818.4,3455.8,29989.61,20065.7,552169.423112,93836.31,69310.0,95519.26,3326.79,40615.0,34765.5,,2021,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
7.352852699607024,1.228391037937906,1.030674389585235,0.3270954552602611,1.326504386046598,2.771459966848565,0.0,0.0,0.0,6359.0,9031.25,6711.625,3126.0,4392.0,25.0,0.0,4367.0,0.0,49349.59,8244.5,6917.5,2080.0,8903.0,977.34,918.0,7882.0,30922.5,20759.0,5463.0,1024.0,687.0,18601.0,1564.0,813.0,2703.5,1279.589999999997,51594.0,29426.1,16444.3,6916.7,9527.6,3480.0,31261.67,19924.3,592426.5303759999,114695.69,91140.0,80915.01999999999,3134.51,36311.0,32059.47,,2021,0.8660254037844386,0.5000000000000001,0.0,1.0
6.091184333911933,0.799340595758265,0.6831717244268869,0.3329123914759274,1.866682628040143,1.783583727379741,0.0,0.0,0.0,6335.0,9311.4,10024.2,7504.0,10737.0,1203.0,3636.0,5898.0,0.0,61059.25,8012.75,6848.25,2109.0,18712.0,5484.13,6918.0,8542.0,31367.0,21669.0,6408.0,1065.0,838.0,17879.0,1630.0,730.0,2786.0,2967.5,63741.0,32938.4,17048.3,7392.200000000001,9656.1,9520.1,40753.67,26568.4,782616.7377759999,111190.25,86710.0,144678.39,3351.67,47018.0,41068.84,,2021,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
5.063694976246468,0.668985463785729,0.5606740952350889,0.2967219537677942,1.534825360248741,1.518016382834325,1.991213389121339,25.45451882845189,12.57769874476988,7657.0,13782.6,12671.8,11755.0,11561.0,1233.0,5304.0,4785.0,239.0,64166.13,8477.25,7104.75,2272.0,19449.0,6300.51,7456.0,8360.0,32910.5,23044.0,6847.0,1067.0,746.0,19236.0,1651.0,841.0,3019.5,3329.379999999997,66832.0,38064.6,18870.0,9028.6,9841.4,12259.7,48437.3,31129.7,787004.945724,86158.69,63710.0,151879.94,6083.63,52204.0,45094.99,,2021,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
5.160827987513512,0.5934112560235182,0.501520401668906,0.2791339125637843,1.550264176103933,1.625183104852152,0.8339285714285714,14.03612244897959,7.365612244897959,7251.0,12903.75,12373.375,8324.0,11843.0,881.0,5286.0,5284.0,392.0,63856.86,7342.5,6205.5,2024.0,19182.0,6078.49,7412.0,8188.0,34190.5,22835.0,6586.0,1060.0,706.0,20109.0,1513.0,750.0,3128.5,3141.860000000001,66540.0,32953.4,17100.2,7639.299999999999,9460.9,10940.0,42183.38,28040.2,758893.842352,80330.06,56920.0,158198.54,5502.16,50546.0,43478.24999999999,,2021,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
10.61276733519201,0.9727943160356147,1.110126809964925,0.0,3.25550858890188,3.168810144797194,1.749537037037037,24.16587962962963,13.49361111111111,0.0,0.0,5559.5,12274.0,11119.0,3395.0,4347.0,3161.0,216.0,59001.68,5408.25,6171.75,369.0,18099.0,7840.81,6580.0,6360.0,32004.0,20374.0,5680.0,947.0,684.0,17617.0,1445.0,703.0,3228.0,3490.43,61552.0,26211.1,10481.5,7753.200000000001,2728.3,10640.9,35803.85,21122.4,647577.1910239999,48052.94,26160.0,124188.15,5219.83,48112.0,41883.51,,2021,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
7.711637175450095,0.8523148074146301,0.8292972725286787,0.2808911345888838,2.168763287031857,2.676214681137876,3.257560975609756,24.84185365853659,10.80765853658537,4354.0,6313.3,9384.15,10531.0,12455.0,2335.0,4544.0,5371.0,205.0,72367.16,7998.25,7782.25,1223.0,20352.0,7710.29,7164.0,8176.0,40496.0,28855.0,6492.0,1016.0,755.0,25114.0,1766.0,959.0,3546.0,3520.910000000003,74852.0,33506.1,14593.0,7862.4,6730.599999999999,10686.9,42733.7,25279.9,705247.7642999999,67035.44,44450.0,139528.84,5092.58,50195.0,43568.16,,2021,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
